【一包方便面真需肝脏解毒32天吗】受加班族青睐的“泡面”潜藏着巨大的有害健康的物质抗氧化剂，也就是BHT。甚至有一种说法称：吃一包泡面，需要肝脏解毒32天！营养学专家称，这种说法并没有科学依据。方便面中添加适量的抗氧化剂BHT，不会对人体造成影响。各位再辛苦也别长吃啊！ ​,用户6200889442,2017-05-10 18:37
﻿【吃一包泡面需肝脏解毒32天】泡面经过油炸，油添加了BHT(防止食物酸化的安定剂)可怕的是碗装泡面，碗的材质是聚苯乙烯，为了防止变形，添了BHT，在冲泡过程遇到高温，这些物质就会溶解出来，人体每天每公斤体重摄入聚苯乙烯危险量是0.001毫克 ，碗装泡面所溶解出来的是0.015毫克 ​,东莞搜号网,
﻿【一包方便面真需肝脏解毒32天吗】受加班族青睐的“泡面”潜藏着巨大的有害健康的物质抗氧化剂，也就是BHT。甚至有一种说法称：吃一包泡面，需要肝脏解毒32天！营养学专家称，这种说法并没有科学依据。方便面中添加适量的抗氧化剂BHT，不会对人体造成影响。 ​,奢饰品高级珠宝定制,2017-05-09 08:43
﻿发表了博文《青岛除甲醛提醒吃一包泡面需肝脏解毒32天》吃一包泡面需肝脏解毒32天　　流言一：【吃一包泡面需肝脏解毒32天】面都经过油炸，油中添加了BHT，可怕的是碗装泡面，碗的材质是聚苯乙烯，为防止加|青岛除甲醛... ​,21世纪产品网,
﻿泡面虽然方便，冲泡容易，口味也可以，但您知道吗？它潜藏着巨大的有害健康的危险因子！经医学临床报告，吃一包泡面就需要肝脏解毒32天。 ​,粉色大嘴,2017-05-03 14:04
﻿泡面虽然方便，冲泡容易，口味也可以，但您知道吗？它潜藏着巨大的有害健康的危险因子！经医学临床报告，吃一包泡面就需要肝脏解毒32天。 ​,白菜小纯纯,
﻿〖一包方便面真需肝脏解毒32天吗〗受加班族青睐的“泡面”潜藏着巨大的有害健康的物质抗氧化剂，也就是BHT。甚至有一种说法称：吃一包泡面，需要肝脏解毒32天！营养学专家称，这种说法并没有科学依据。方便面中添加适量的抗氧化剂BHT，不会对人体造成影响。 ​,Beautiful丶Moon,2017-04-08 14:04
﻿【优简舒】泡面虽然方便，冲泡容易，口味也可以，但您知道吗？它潜藏着巨大的有害健康的危险因子！经医学临床报告，吃一包泡面就需要肝脏解毒32天。 ​,优简舒4704安妮爱朵拉,
﻿下班回家路过超市，突然很想吃泡面，而且我想如果要吃我就要吃两包，否则不过瘾。但我在决定性的分叉口选择了回家，因为我知道吃一包泡面需要肝脏解毒一个月。此后，我又想我因为没有吃到泡面带来的不爽而分泌的毒素和吃泡面相比，到底哪个更大 ​,Cindy_101010,2017-04-07 08:44
﻿【一包方便面真需肝脏解毒32天吗】受加班族青睐的“泡面”潜藏着巨大的有害健康的物质抗氧化剂，也就是BHT。甚至有一种说法称：吃一包泡面，需要肝脏解毒32天！营养学专家称，这种说法并没有科学依据。方便面中添加适量的抗氧化剂BHT，不会对人体造成影响。 ​,邢台慈铭健康体检,
﻿【吃一包泡面，需肝脏解毒32天】泡面都经过油炸，油中添加了BHT（防止食物酸化的安定剂）；碗装泡面塑料碗的材质是聚苯乙烯，为防止加热后变形，添了BHT，冲泡过程遇高温，这些物质就会溶解，人体每天每公斤体重，摄入聚苯乙烯的危险量是0.001毫克 ，一个碗装泡面，所溶解出来的是0.015毫克。 ​,珠海久益商贸有限公司,2017-04-03 15:37
﻿【一包方便面真需肝脏解毒32天吗】受加班族青睐的“泡面”潜藏着巨大的有害健康的物质抗氧化剂，也就是BHT。甚至有一种说法称：吃一包泡面，需要肝脏解毒32天！营养学专家称，这种说法并没有科学依据。方便面中添加适量的抗氧化剂BHT，不会对人体造成影响。 ​,每日健康养生小贴士,
﻿#我们爱化学呀# 一直都听说吃泡面没营养，近年来，泡面更是被扣上了一顶“十恶不赦”的帽子，说吃一包泡面肝脏需解毒32天，还有说碗装泡面的碗是用聚苯乙烯制作的，有致癌性……事实真的是这样吗？听听@家庭用药杂志 怎么说。http://t.cn/Rf5ViYn@井冈山大学化学化工学院团委 ​,井大15化学本一班,2017-03-31 16:15
﻿一直都听说吃泡面没营养，近年来，泡面更是被扣上了一顶“十恶不赦”的帽子，说吃一包泡面肝脏需解毒32天，还有说碗装泡面的碗是用聚苯乙烯制作的，有致癌性……事实真的是这样吗？听听@家庭用药杂志 怎么说。|“十恶不赦”... ​,microchipPIC单片机,
﻿【吃一包泡面需肝脏解毒32天】泡面都经过油炸，油中添加了BHT（防止食物酸化的安定剂）；碗装泡面塑料碗的材质是聚苯乙烯，为防止加热后变形，添了BHT，冲泡过程遇高温，这些物质就会溶解，人体每天每公斤体重，摄入聚苯乙烯的危险量是0.001毫克 ，一个碗装泡面，所溶解出来的是0.015毫克。 ​,健康顾问微博,2017-03-27 23:23
﻿吃一包泡面需肝脏解毒32天，你经常吃泡面吗？ ​,阳光远山,
